Date,Price,Open,High,Low,Vol.,Change %
07/18/2023,15050,15200,15250,14850,28.46M,-1.95%
07/17/2023,15350,15300,15500,15100,36.93M,1.32%
07/14/2023,15150,15050,15350,14900,43.04M,1.34%
07/13/2023,14950,14700,15150,14600,30.51M,2.40%
7/12/2023,14600,14800,14850,14450,21.67M,-0.68%
7/11/2023,14700,15000,15050,14650,17.74M,-1.34%
7/10/2023,14900,14600,15100,14500,27.53M,2.76%
7/7/2023,14500,14250,14550,14250,19.48M,0.69%
7/6/2023,14400,14700,14750,14200,23.89M,-2.04%
7/5/2023,14700,15000,15100,14700,24.05M,-1.01%
7/4/2023,14850,14550,14850,14350,23.18M,2.06%
7/3/2023,14550,15000,15050,14500,30.11M,-2.02%
06/30/2023,14850,15000,15250,14850,27.93M,-1.00%
06/29/2023,15000,15800,15800,15000,39.22M,-3.85%
06/28/2023,15600,15350,15850,15150,70.79M,4.00%
06/27/2023,15000,15000,15350,14850,31.02M,0.67%
06/26/2023,14900,14650,15200,14450,50.45M,2.76%
06/23/2023,14500,14800,14850,14300,31.11M,-1.02%
06/22/2023,14650,14550,15000,14500,29.99M,1.03%
06/21/2023,14500,14600,14600,14250,28.74M,0.00%
06/20/2023,14500,14050,14550,14000,23.52M,3.57%
06/19/2023,14000,14900,15000,14000,67.22M,-6.04%
06/16/2023,14900,15450,15600,14800,51.56M,-2.30%
06/15/2023,15250,15200,15450,15050,32.79M,0.33%
06/14/2023,15200,15600,15850,15200,38.80M,-2.56%
06/13/2023,15600,14700,15600,14450,77.65M,6.85%
6/12/2023,14600,14800,15000,14200,29.16M,0.00%
6/9/2023,14600,14250,14700,14150,30.83M,2.82%
6/8/2023,14200,14800,15000,14200,35.67M,-2.41%
6/7/2023,14550,13800,14550,13650,53.09M,6.99%
6/6/2023,13600,13500,13650,13400,14.49M,0.74%
6/5/2023,13500,14000,14050,13450,25.31M,-2.53%
6/2/2023,13850,14100,14200,13750,24.19M,-0.36%
6/1/2023,13900,13550,13950,13500,30.65M,2.96%
05/31/2023,13500,13500,13800,13400,32.02M,1.12%
05/30/2023,13350,13200,13600,13150,28.17M,2.30%
05/29/2023,13050,13000,13250,12950,14.15M,0.77%
05/26/2023,12950,13200,13250,12750,20.14M,-1.89%
05/25/2023,13200,13250,13350,13150,8.57M,-0.38%
05/24/2023,13250,13350,13650,13250,18.89M,0.38%
05/23/2023,13200,13350,13450,13100,15.47M,-1.12%
05/22/2023,13350,13400,13550,13250,12.20M,1.14%
05/19/2023,13200,13300,13350,13050,12.11M,-0.75%
05/18/2023,13300,13350,13450,13200,8.71M,0.00%
05/17/2023,13300,13650,13700,13300,12.97M,-2.56%
05/16/2023,13650,13550,13700,13400,10.89M,1.11%
05/15/2023,13500,14000,14100,13500,17.13M,-1.46%
5/12/2023,13700,13900,13950,13700,18.55M,-0.72%
5/11/2023,13800,13450,13950,13450,20.59M,3.76%
5/10/2023,13300,13150,13500,13100,13.98M,2.31%
