Date,Price,Open,High,Low,Vol.,Change %
5/8/2023,33800,34200,35000,33500,2.46M,-0.88%
5/5/2023,34100,33800,34300,32950,1.93M,0.44%
5/4/2023,33950,32500,34500,32500,4.08M,1.65%
04/28/2023,33400,31800,33400,31450,5.50M,6.71%
04/27/2023,31300,31400,32100,30950,2.02M,0.64%
04/26/2023,31100,31100,31150,30200,2.81M,0.00%
04/25/2023,31100,31700,32500,30600,2.02M,-1.27%
04/24/2023,31500,30800,32100,30500,3.16M,3.28%
04/21/2023,30500,30100,31750,29900,3.66M,1.33%
04/20/2023,30100,29600,30550,29600,1.87M,1.52%
04/19/2023,29650,30700,31000,29300,2.51M,-2.31%
04/18/2023,30350,30350,30600,29350,1.94M,0.00%
04/17/2023,30350,29100,30550,28600,2.21M,2.53%
04/14/2023,29600,31900,31900,29600,3.50M,-6.92%
04/13/2023,31800,32400,32400,31700,2.05M,-0.63%
4/12/2023,32000,30000,32000,29650,5.19M,6.84%
4/11/2023,29950,29450,30000,28600,2.12M,0.84%
4/10/2023,29700,29800,30000,29250,1.84M,1.37%
4/7/2023,29300,29200,29400,28400,2.39M,0.34%
4/6/2023,29200,29500,30300,29000,3.61M,-1.35%
4/5/2023,29600,29300,29850,29000,3.22M,2.60%
4/4/2023,28850,28700,30000,28300,3.14M,0.70%
4/3/2023,28650,27500,28650,27300,4.31M,6.90%
03/31/2023,26800,25150,26800,25150,2.96M,6.99%
03/30/2023,25050,25600,25600,25050,924.20K,-0.79%
03/29/2023,25250,25150,25400,24900,897.40K,-0.79%
03/28/2023,25450,25800,25800,25050,1.40M,-0.20%
03/27/2023,25500,25300,25700,24950,1.22M,2.41%
03/24/2023,24900,23600,24900,23450,2.40M,6.87%
03/23/2023,23300,23100,23700,22900,1.26M,0.87%
03/22/2023,23100,23400,23700,23100,923.50K,0.00%
03/21/2023,23100,23250,23250,22800,1.30M,1.32%
03/20/2023,22800,24000,24000,22800,1.62M,-4.40%
03/17/2023,23850,24700,24700,23850,833.00K,-1.65%
03/16/2023,24250,24700,24900,24050,807.80K,-2.81%
03/15/2023,24950,24500,25050,24100,1.44M,4.39%
03/14/2023,23900,24050,24500,23500,1.22M,-2.05%
03/13/2023,24400,24900,25400,24400,1.70M,-3.56%
3/10/2023,25300,25500,25550,25100,1.28M,-1.56%
3/9/2023,25700,25800,26100,25400,942.60K,0.00%
3/8/2023,25700,25300,25700,24700,774.40K,0.39%
3/7/2023,25600,25500,25750,25200,648.30K,0.00%
3/6/2023,25600,25700,26700,25600,1.55M,2.40%
3/3/2023,25000,25150,25350,24350,1.02M,-0.99%
3/2/2023,25250,25350,25800,25100,585.00K,0.20%
3/1/2023,25200,25400,25650,25000,1.66M,-1.95%
02/28/2023,25700,26450,26500,25700,792.30K,-1.91%
02/27/2023,26200,25500,26500,25500,1.22M,0.58%
02/24/2023,26050,26650,27000,26000,973.80K,-3.52%
02/23/2023,27000,27250,27500,25800,1.60M,-0.37%
02/22/2023,27100,28500,28700,27100,1.13M,-6.55%
02/21/2023,29000,30100,30350,28700,1.67M,-1.69%
02/20/2023,29500,29100,29500,28800,1.21M,3.15%
02/17/2023,28600,28600,29100,28400,503.00K,0.00%
02/16/2023,28600,27200,28600,27100,1.57M,6.32%
02/15/2023,26900,26300,26900,26000,315.90K,3.07%
02/14/2023,26100,25900,26250,25800,547.10K,1.16%
02/13/2023,25800,26750,26750,25700,1.20M,-3.55%
2/10/2023,26750,26650,27050,26500,393.30K,0.38%
2/9/2023,26650,26600,27200,26600,324.30K,-1.30%
2/8/2023,27000,27700,27700,26650,781.10K,-2.53%
2/7/2023,27700,27800,27800,27000,482.90K,0.00%
2/6/2023,27700,27700,27800,27400,311.90K,0.00%
2/3/2023,27700,27950,28200,27600,297.10K,-0.36%
2/2/2023,27800,27800,28100,27050,911.20K,0.00%
2/1/2023,27800,29550,29600,27800,1.77M,-4.79%
01/31/2023,29200,29400,29500,28850,627.70K,-0.68%
01/30/2023,29400,28400,29450,28000,1.73M,3.16%
01/27/2023,28500,28550,28900,28350,742.80K,-0.18%
01/19/2023,28550,27750,28700,27500,912.00K,2.88%
01/18/2023,27750,27350,27900,26500,844.20K,4.72%
01/17/2023,26500,25750,26900,25750,999.60K,3.52%
01/16/2023,25600,26300,26350,25600,1.33M,-2.48%
01/13/2023,26250,27250,27450,26100,1.55M,-1.69%
1/12/2023,26700,28000,28200,26700,1.15M,-4.47%
1/11/2023,27950,27700,28900,27400,650.90K,0.90%
1/10/2023,27700,28100,28850,27300,1.35M,-2.81%
1/9/2023,28500,30150,30150,28500,898.30K,-5.47%
1/6/2023,30150,30900,31300,29100,938.30K,-1.95%
1/5/2023,30750,31000,31300,30600,874.00K,-0.81%
1/4/2023,31000,32400,32400,30750,1.22M,-2.97%
1/3/2023,31950,31000,31950,30650,2.06M,3.06%
12/30/2022,31000,29950,31000,29650,1.43M,3.68%
12/29/2022,29900,29700,30100,29700,299.80K,-0.50%
12/28/2022,30050,30000,30050,29300,934.60K,0.17%
12/27/2022,30000,28150,30000,28150,1.05M,3.63%
12/26/2022,28950,29800,29800,27900,1.01M,-3.50%
12/23/2022,30000,29700,30250,29550,879.10K,-1.64%
12/22/2022,30500,29800,30500,29100,1.49M,0.00%
12/21/2022,30500,30600,30600,28800,1.78M,-0.65%
12/20/2022,30700,30000,30700,28600,4.68M,0.00%
12/19/2022,30700,30750,30800,30350,1.67M,0.66%
12/16/2022,30500,30350,31500,30100,1.39M,0.00%
12/15/2022,30500,30400,30650,30050,835.90K,0.00%
12/14/2022,30500,30950,31000,30000,1.67M,1.67%
12/13/2022,30000,27600,30000,27600,1.73M,6.19%
12/12/2022,28250,29883,29883,28250,1.81M,-5.46%
12/9/2022,29883,29388,29883,28201,2.23M,0.67%
12/8/2022,29685,28102,29685,28102,2.69M,6.20%
12/7/2022,27953,28547,28596,27310,2.92M,-3.42%
12/6/2022,28943,29190,29487,27854,4.30M,-2.17%
12/5/2022,29586,29190,29685,28201,3.44M,1.87%
12/2/2022,29042,27261,29141,27112,3.32M,6.53%
12/1/2022,27261,28299,29586,27211,6.46M,-3.33%
11/30/2022,28201,27261,28201,26370,3.17M,3.26%
11/29/2022,27310,27211,27607,25232,4.02M,3.18%
11/28/2022,26469,25677,26469,25232,3.23M,7.00%
11/25/2022,24737,23946,24836,23649,3.85M,6.38%
11/24/2022,23253,21472,23451,21472,4.46M,6.10%
11/23/2022,21917,22758,23154,21769,3.01M,-4.11%
11/22/2022,22857,23352,24391,22363,6.62M,0.21%
11/21/2022,22808,22758,22808,22313,5.52M,6.96%
11/18/2022,21324,20581,21324,20136,5.06M,6.95%
11/17/2022,19938,19592,19938,19246,3.41M,6.89%
11/16/2022,18652,16277,18652,16277,4.93M,6.80%
11/15/2022,17465,17860,18454,17465,3.07M,-6.86%
11/14/2022,18751,18701,18850,18009,2.12M,-2.32%
11/11/2022,19196,18800,19295,17811,3.83M,3.19%
11/10/2022,18602,18800,19345,18602,3.19M,-6.93%
11/9/2022,19988,19988,21126,19493,2.46M,1.00%
11/8/2022,19790,18602,20285,18602,2.72M,-0.99%
11/7/2022,19988,20779,20977,19988,1.77M,-6.91%
11/4/2022,21472,22363,22659,21472,3.63M,-6.87%
11/3/2022,23055,22264,23154,22264,1.28M,0.43%
11/2/2022,22956,22659,22956,22016,1.66M,2.65%
11/1/2022,22363,22956,23204,22363,1.53M,-0.87%
10/31/2022,22560,22560,22758,21324,2.80M,-0.87%
10/28/2022,22758,23303,23698,22758,2.24M,-1.08%
10/27/2022,23006,21769,23204,21670,3.30M,5.68%
10/26/2022,21769,21027,22214,21027,3.73M,2.33%
10/25/2022,21274,21571,23451,21076,4.27M,-6.11%
10/24/2022,22659,24440,24688,22659,3.23M,-6.91%
10/21/2022,24342,25776,25826,24243,3.24M,-6.46%
10/20/2022,26024,26419,26716,25826,1.19M,-1.50%
10/19/2022,26419,26518,26964,26320,1.19M,-0.74%
10/18/2022,26617,26518,27607,26518,2.19M,1.70%
10/17/2022,26172,26222,26271,25282,2.58M,-1.30%
10/14/2022,26518,26419,26964,26222,2.95M,2.68%
10/13/2022,25826,25628,26172,25232,3.18M,3.78%
10/12/2022,24886,23352,24886,23352,3.56M,6.79%
10/11/2022,23303,25034,25133,23303,3.43M,-6.91%
10/10/2022,25034,24193,25727,24193,4.74M,1.81%
10/7/2022,24589,25727,25727,24539,4.75M,-6.75%
10/6/2022,26370,28398,28497,26370,2.51M,-6.98%
10/5/2022,28349,27409,28547,27359,2.90M,5.14%
10/4/2022,26964,28201,28299,26716,3.54M,-3.37%
10/3/2022,27904,29982,29982,27904,3.50M,-6.93%
