Date,Price,Open,High,Low,Vol.,Change %
01/31/2023,50900,51500,51800,50400,1.31M,-1.17%
01/30/2023,51500,53300,53500,51500,1.35M,-3.38%
01/27/2023,53300,52400,53900,51900,1.28M,2.11%
01/19/2023,52200,52400,53400,51500,2.24M,-0.57%
01/18/2023,52500,52000,52900,50900,1.26M,0.96%
01/17/2023,52000,51300,52000,49550,1.45M,1.36%
01/16/2023,51300,52000,52300,51300,1.12M,-1.35%
01/13/2023,52000,51700,52000,51100,1.05M,0.97%
1/12/2023,51500,51100,51700,51000,1.24M,1.38%
1/11/2023,50800,50300,50900,49800,1.19M,2.11%
1/10/2023,49750,50100,50400,49750,894.10K,-0.90%
1/9/2023,50200,50200,50500,49700,1.20M,0.60%
1/6/2023,49900,49750,50300,49500,1.17M,0.40%
1/5/2023,49700,49000,50000,49000,1.95M,1.43%
1/4/2023,49000,49900,49900,49000,1.18M,-0.81%
1/3/2023,49400,48000,49400,47000,1.62M,2.92%
12/30/2022,48000,49000,49000,47550,1.20M,0.42%
12/29/2022,47800,47600,48500,47400,1.26M,0.21%
12/28/2022,47700,47700,48500,46500,1.49M,0.42%
12/27/2022,47500,46300,50200,45150,2.87M,1.06%
12/26/2022,47000,49500,49600,47000,2.14M,-5.62%
12/23/2022,49800,49400,50000,48200,1.35M,1.63%
12/22/2022,49000,48550,49650,48550,2.17M,1.03%
12/21/2022,48500,48800,48800,46600,1.88M,0.62%
12/20/2022,48200,48200,48600,46300,3.29M,0.00%
12/19/2022,48200,49400,50200,48200,2.14M,-2.23%
12/16/2022,49300,50300,51200,49300,3.49M,-2.76%
12/15/2022,50700,53000,53100,50700,2.95M,-4.34%
12/14/2022,53000,53700,53700,51400,3.22M,0.00%
12/13/2022,53000,50500,53000,49950,4.25M,4.95%
12/12/2022,50500,54200,54200,50500,3.87M,-6.65%
12/9/2022,54100,55400,55600,53700,3.33M,-2.35%
12/8/2022,55400,57000,57000,54500,4.14M,-0.18%
12/7/2022,55500,54200,56700,54200,3.60M,0.91%
12/6/2022,55000,58300,58300,54300,4.26M,-5.66%
12/5/2022,58300,57500,58300,56800,4.60M,1.92%
12/2/2022,57200,53500,57200,53000,6.36M,6.92%
12/1/2022,53500,55100,56200,53500,5.87M,-1.83%
11/30/2022,54500,53600,54500,52000,6.19M,2.64%
11/29/2022,53100,51600,53100,50400,7.43M,5.78%
11/28/2022,50200,47500,50200,47400,7.82M,6.81%
11/25/2022,47000,46000,47050,45800,3.34M,4.44%
11/24/2022,45000,44350,45500,44200,1.18M,1.35%
11/23/2022,44400,45000,46000,44300,1.11M,-1.99%
11/22/2022,45300,45800,48500,45300,1.85M,-3.51%
11/21/2022,46950,48000,48000,45750,2.71M,-2.19%
11/18/2022,48000,47950,48800,46600,3.64M,0.10%
11/17/2022,47950,45000,47950,44950,4.30M,6.79%
11/16/2022,44900,43000,45000,41500,3.37M,3.46%
11/15/2022,43400,42550,43850,42450,3.09M,-1.36%
11/14/2022,44000,43800,44900,42350,2.67M,-0.34%
11/11/2022,44150,43950,44550,43750,4.08M,0.46%
11/10/2022,43950,44100,44100,42300,4.02M,-1.35%
11/9/2022,44550,43800,45000,43800,4.93M,1.71%
11/8/2022,43800,43100,43800,41250,5.52M,-0.23%
11/7/2022,43900,44000,44000,42200,3.02M,-1.35%
11/4/2022,44500,44800,44800,42500,4.34M,-1.11%
11/3/2022,45000,44550,45350,44350,2.10M,0.22%
11/2/2022,44900,45000,45500,44700,2.26M,-0.22%
11/1/2022,45000,45800,46200,45000,2.62M,0.00%
10/31/2022,45000,45500,46800,44100,2.52M,0.22%
10/28/2022,44900,44500,46300,44100,3.08M,2.05%
10/27/2022,44000,43400,44600,42900,4.87M,1.15%
10/26/2022,43500,44600,44600,41750,3.70M,-2.47%
10/25/2022,44600,44600,44700,41500,6.29M,0.00%
10/24/2022,44600,47950,47950,44600,1.83M,-6.99%
10/21/2022,47950,49950,49950,46500,5.38M,-4.10%
10/20/2022,50000,49500,50000,48900,2.75M,0.00%
10/19/2022,50000,50400,50500,49050,1.24M,-0.99%
10/18/2022,50500,50000,50500,48350,2.55M,2.02%
10/17/2022,49500,51500,51500,49500,2.93M,-4.62%
10/14/2022,51900,53000,53100,51300,1.70M,-1.70%
10/13/2022,52800,52500,52800,51000,2.13M,0.57%
10/12/2022,52500,51800,52900,50500,2.06M,1.35%
10/11/2022,51800,52600,52600,50800,4.08M,-3.90%
10/10/2022,53900,53000,53900,51800,2.16M,0.19%
10/7/2022,53800,53600,53800,50700,4.05M,0.37%
10/6/2022,53600,53600,54100,52700,2.72M,-0.37%
10/5/2022,53800,51000,53800,50900,3.93M,6.32%
10/4/2022,50600,50700,50700,48300,2.98M,0.40%
10/3/2022,50400,50700,50800,47200,4.22M,-0.59%
09/30/2022,50700,50000,52000,48000,4.40M,-0.20%
09/29/2022,50800,52100,52500,50700,1.97M,-0.78%
09/28/2022,51200,53600,54000,51000,2.62M,-5.36%
09/27/2022,54100,55900,55900,54100,1.24M,-3.22%
09/26/2022,55900,56500,57000,55200,2.73M,-2.27%
09/23/2022,57200,57500,57700,57000,630.90K,-0.87%
09/22/2022,57700,57800,58000,56600,2.37M,-1.03%
09/21/2022,58300,58900,58900,58000,1.73M,-1.02%
09/20/2022,58900,58600,59300,58600,1.54M,0.86%
09/19/2022,58400,59600,59800,58400,1.94M,-2.01%
09/16/2022,59600,60000,61100,59600,2.37M,-1.49%
09/15/2022,60500,60000,60500,59800,1.91M,0.83%
09/14/2022,60000,59800,60300,59700,1.78M,-1.15%
09/13/2022,60700,61500,61500,60700,2.25M,-1.14%
9/12/2022,61400,60100,61800,60100,3.87M,2.50%
9/9/2022,59900,59800,60200,59500,1.44M,0.50%
9/8/2022,59600,59600,59800,59300,1.64M,0.17%
9/7/2022,59500,61000,61100,59500,1.85M,-2.62%
9/6/2022,61100,61200,61500,61000,1.29M,0.16%
9/5/2022,61000,61200,61800,61000,1.53M,0.00%
08/31/2022,61000,59900,61400,59700,2.84M,1.84%
